"weight","idlist","id","waiting time","duration","total request","priority","completed jobs"
9.222159294790889E-17,1,0,1.2,59.70161654594871,195,1,38
4.2461477565590916E-11,2,1,1.0,2.0660236934159775,555,2,41
2.910669424016236E-12,4,4,1.2,2.6707797891292633,495,1,76
1.0126662402502732E-12,7,8,1.0,13.546771820821647,435,3,9
1.4506587527513908E-13,11,14,1.2,16.579812097474488,123,3,45
2.14895451877505E-10,16,17,1.0,0.9748230059288262,437,2,77
9.317087816426181E-11,22,22,1.2,1.7286429394608382,757,3,44
2.7335293815091225E-13,29,27,1.2,10.063543949287164,345,2,32
4.287200869048178E-8,37,44,1.2,0.2967311886186822,354,2,27
2.5960348805099544E-9,46,53,1.0,0.7123140939607967,488,1,26
2.4472067355404184E-11,55,64,1.2,2.785228375095328,458,1,32
3.5255730183912086E-9,64,71,1.0,1.2987601369103836,299,1,18
2.6009694623975695E-10,73,66,1.2,4.347698498189139,580,2,6
1.5709386498826952E-12,82,49,1.4000001,5.421008891416246,267,1,53
1.9037845443352426E-12,91,41,1.8000002,17.004783753616355,902,2,4
7.416281423584958E-11,100,105,1.0,80.39419892580197,8,2,1
1.3943239005839073E-7,109,119,1.2,0.41636818747108184,43,2,78
1.5175143915467156E-12,118,89,1.4000001,9.402772031825172,142,1,33
3.1952963973306983E-10,127,143,1.2,2.5903276110316664,788,3,13
1.8493852533388767E-11,136,150,1.0,6.067933733960213,40,3,81
3.0486844436834124E-11,145,157,1.2,1.1817701159237128,869,2,92
1.366104332717888E-9,154,171,1.0,0.7712990861799198,207,2,83
2.7368419300745393E-11,163,170,1.2,17.184176920804344,2,1,77
1.1345418310175075E-10,172,186,1.0,2.504364862786919,94,2,82
1.1376844869871469E-10,181,191,1.2,1.9312553551595155,530,3,45
3.0952377406196175E-12,190,67,2.4000003,16.526897051338658,53,2,50
3.8838920937629935E-12,199,103,2.4000003,11.069007394320863,260,1,20
3.2727593904978374E-12,208,11,3.4000006,16.413920641474633,201,3,32
6.406912383994275E-11,217,243,1.2,47.951905683003815,6,3,6
4.5257058375348855E-12,226,181,1.8000002,11.148382475634689,114,2,33
1.4305694779431393E-6,235,263,1.2,0.1991177019092174,421,1,5
3.1468692895429494E-12,244,225,1.4000001,14.003336345141362,329,2,8
4.534764865813178E-11,253,277,1.2,1.925257138261423,760,3,49
3.9033377293711E-12,262,151,2.4000003,5.179260927108478,768,1,33
4.6757144444710034E-12,271,269,1.4000001,17.753264750372804,158,2,8
3.783348132960127E-12,280,2,4.4,8.514553476952656,765,1,31
1.6448641056771762E-9,289,323,1.2,13.926002584057805,46,3,3
4.9416125730083945E-12,298,276,1.6000001,4.41747676139771,213,2,89
6.046501044810504E-12,307,193,2.6000004,3.8586842867490976,430,1,83
5.644286615672519E-12,316,140,3.2000005,7.979055560241801,828,1,18
7.189673345714128E-12,325,215,2.6000004,83.51508678798118,120,3,1
7.141335984305261E-12,334,201,2.8000004,4.0604850487693085,582,2,81
7.705025894221558E-12,344,80,4.2000003,19.253125856963177,66,2,47
6.746983248944103E-12,361,245,2.4000003,9.904052020874495,350,3,24
8.869902048846172E-10,371,414,1.0,10.853168114750543,113,2,2
2.624340384185149E-10,380,424,1.0,2.6763965370453606,899,3,10
3.3645240648962336E-9,389,430,1.0,0.1486729014341054,479,3,77
3.3162784959018004E-10,398,439,1.0,1.182369821319208,857,2,30
1.0904089371184963E-10,407,409,1.4000001,2.2329819768388024,516,3,43
2.9537117554948765E-10,416,461,1.0,12.196568157108931,362,3,1
7.80746650184384E-11,425,446,1.2,1.4476936713022828,601,3,75
1.0900168311830433E-11,434,159,4.2000003,19.586505571625157,511,3,9
1.336374915818542E-11,443,248,3.4000006,69.61065154433916,208,3,1
3.1350654031883985E-10,452,495,1.0,2.050405812745357,473,1,16
4.945094299508317E-10,461,505,1.0,1.523387166012748,163,3,79
6.097932225607042E-11,470,499,1.2,37.243025580985716,80,3,1
2.9366595460232575E-11,479,501,1.4000001,6.24497747447782,333,2,14
2.2881879485650903E-11,488,417,2.2000003,3.6891956436182745,829,3,39
1.9109812991592147E-6,497,552,1.0,0.26957249313481035,153,2,10
1.3776933315989203E-11,506,166,4.7999997,13.120733164218667,239,2,32
1.3397697914384126E-11,515,336,3.4000006,27.239403840547578,717,2,2
1.06867079488342E-11,524,233,4.4,8.78061756848702,451,2,39
1.2019280276923382E-11,533,345,3.4000006,6.482094644752103,330,2,58
1.0874121370953044E-11,540,366,3.2000005,19.00258770208714,733,1,3
1.2095864472993952E-11,550,97,6.1999984,38.50351320992905,345,2,5
1.1305585556960654E-11,559,20,6.9999976,7.542348890648077,864,1,43
1.5864172546823213E-11,568,608,1.2,53.46196295723403,16,3,4
1.4390926132427509E-11,577,452,2.8000004,15.863181954478659,206,2,12
9.388435645829693E-11,586,646,1.0,1.79687533828425,841,2,27
4.0413759003502973E-10,595,654,1.0,1.188479362396803,324,2,60
2.500667256447501E-11,604,564,2.0000002,2.565197378335962,722,3,71
2.2994162507298733E-11,613,526,2.4000003,27.013599790060773,54,2,9
3.845346350108969E-9,622,689,1.0,1.6471387578537375,137,2,30
2.759210854947269E-11,631,597,2.0000002,6.694854425162172,58,3,92
2.6254208922108447E-11,640,540,2.8000004,4.357087494451016,204,2,98
2.365402616873853E-11,649,683,1.2,2.311156641203581,666,2,44
3.2671985955687784E-11,658,653,1.8000002,2.241295453966904,878,1,39
2.5378983692420914E-11,667,712,1.2,17.887811642446234,530,2,1
2.8387481043426072E-11,676,288,5.599999,8.93749424146258,954,3,23
3.955862106086578E-8,685,758,1.0,0.08287894737869272,168,1,54
3.5035505729926596E-11,694,708,1.6000001,8.907202699895917,223,2,11
3.201587995347897E-11,703,312,5.599999,7.2773926711870365,570,3,48
8.184473458409272E-8,712,783,1.0,0.16309803146047652,497,2,17
3.2207734130853654E-11,721,581,3.2000005,36.317824807327334,36,3,11
3.1291681857776256E-11,730,530,3.8000007,4.841446265162899,636,2,46
2.966201993816014E-11,739,337,5.7999988,12.747578881708142,50,1,85
3.5608640333895646E-11,748,621,3.2000005,10.84065868609713,158,3,29
3.378318597699805E-11,757,529,4.0000005,5.036709575145753,685,2,42
3.9924196699285244E-11,766,558,4.0000005,25.57082098530203,14,1,35
3.3304749594473095E-11,775,348,5.9999986,3.821870830197259,884,1,75
4.1519402611883425E-11,784,675,3.0000005,2.019019556876131,683,1,100
4.0919324156958914E-11,793,879,1.0,7.05038606256221,76,3,27
1.13423067368473E-10,802,888,1.0,1.0239368502316304,695,2,65
5.7099605560012913E-11,811,819,1.8000002,2.852638681991014,983,3,29
4.4270557263899244E-10,820,908,1.0,0.23361281421504054,991,1,52
1.404035401119657E-10,829,904,1.0,5.6614364667729475,133,1,10
5.070552811253117E-9,838,930,1.0,5.875267887738533,5,3,45
8.047852485291106E-11,847,704,3.2000005,3.932702370411457,294,3,79
6.210915572353332E-11,856,464,5.9999986,9.124082652920903,543,1,18
6.110814544684216E-11,865,590,4.6,15.86556081543743,825,3,5
6.183280649365163E-11,873,490,5.7999988,10.619432920630796,349,3,29
2.0963656242298424E-10,882,972,1.0,5.173684785996193,12,2,89
6.99655619027245E-9,891,987,1.0,0.5543689189328547,266,2,44
6.40224297860718E-11,900,437,6.799998,47.54055192492021,135,2,4
1.8113286634268344E-10,909,1004,1.0,2.402569980613462,831,3,15
7.114413953162618E-11,918,740,4.0000005,3.4452557813139877,480,1,62
6.457194166258251E-11,927,355,7.799997,22.913876176481267,55,2,40
7.653764603862009E-11,936,956,2.0000002,5.238556791474499,96,1,41
6.603451394797133E-11,945,273,8.799996,52.69514685368786,164,3,5
7.198139800068728E-11,954,390,7.799997,8.282730856049165,280,3,77
7.066941686848183E-11,963,855,3.2000005,9.119717566467187,665,2,8
1.0415117811440843E-10,972,1055,1.4000001,1.3637722576731157,618,3,84
7.856489501599824E-11,981,556,6.399998,40.88887802965115,226,2,3
8.227475867168062E-11,990,659,5.599999,6.478305186147798,258,2,65
7.530692899432137E-11,999,329,8.799996,14.129764103786016,359,3,28
9.335249286049683E-11,1008,1115,1.2,0.9956488348841226,516,1,83
3.0131105760382985E-10,1017,1126,1.0,1.9194184599747834,307,2,34
1.0348428183756987E-10,1026,914,3.4000006,6.286104539921548,795,3,15
9.997191961439833E-11,1035,869,3.8000007,12.98223935671328,315,3,10
1.0680450313663489E-10,1044,940,3.4000006,12.429477909847959,526,2,5
1.019644319478196E-10,1053,807,4.6,7.769890615617669,110,1,49
9.364137256149957E-11,1062,412,8.799996,87.37418934334295,199,2,1
8.923773761572382E-11,1073,989,3.0000005,4.608036960102782,907,2,18
2.5265877628797555E-6,1088,1207,1.0,0.42911062414953505,144,3,9
8.313286051614663E-10,1099,1217,1.0,0.42429925951267244,612,1,46
1.0364068816257372E-10,1108,500,8.399997,9.16842167012508,747,1,18
1.031003315103883E-10,1117,786,5.399999,5.488380222194828,192,1,73
1.2624775987763096E-10,1126,1170,1.8000002,6.359380849628586,778,2,5
1.169313091569944E-10,1135,945,4.0000005,3.5465001939115313,325,2,87
1.546302166515985E-10,1144,1251,1.2,4.67837573693075,25,2,81
1.3107777166860457E-10,1153,802,5.7999988,11.235115552961483,301,1,14
1.3020440452614297E-10,1162,985,4.0000005,6.1215581729561235,567,2,20
1.2861658518285515E-10,1171,677,7.1999974,23.058468670608857,557,1,3
1.71968919204501E-10,1180,1299,1.2,0.7665153839789144,420,1,98
1.4529568913906673E-10,1189,1064,3.4000006,6.33971348782928,75,1,55
1.5263992946814859E-10,1198,1268,1.6000001,2.196738225822277,576,2,35
2.2850753577203046E-8,1207,1339,1.0,3.89412638389866,223,2,2
1.6556741566026918E-10,1216,1084,3.6000006,3.1728666783260095,781,1,30
6.433507923995732E-10,1225,1359,1.0,1.341053512670574,419,1,26
1.6639392540226772E-10,1234,800,6.799998,5.591472375352257,354,2,65
7.687097425092345E-8,1243,1380,1.0,6.6562890275248545,23,2,3
1.5731099229031455E-10,1252,1202,2.8000004,5.524464992889753,622,3,15
1.5034936413554037E-10,1261,669,8.199997,11.943338952770153,141,3,55
2.8042409310538183E-10,1270,1410,1.0,4.047919602561105,322,2,9
1.9442631389370124E-10,1279,1289,2.2000003,12.488140175327372,30,3,26
2.0756611730393435E-10,1288,1348,1.8000002,2.681254356468658,117,2,90
2.0491526843471361E-10,1297,1397,1.4000001,7.062836263875052,128,3,13
2.0452589707469006E-10,1306,1256,3.0000005,2.76886484474315,750,3,44
