"weight","queue size","id","waiting time","duration","total request","priority","completed jobs"
2.3380671689862318E-8,10,6,1.2,20.338693385128902,737,3,1
1.7552907289228868E-8,14,5,1.2,91.32851464801571,26,2,31
2.1234458163162746E-8,18,12,1.2,88.67050059609937,94,2,4
1.4856096430600405E-8,24,24,1.0,28.027835528833826,295,3,4
3.797213712397325E-8,31,35,1.2,92.65555870461205,98,3,5
4.241079910749311E-9,39,28,1.2,9.372822103953855,390,3,17
2.7662303104279355E-8,48,52,1.2,7.864998462380106,753,2,1
1.169034539102904E-7,57,56,1.0,2.6981145900900283,208,3,14
3.082643782299293E-8,66,68,1.2,43.74478235911104,275,2,1
7.017617134118846E-9,75,55,1.2,59.84098632617041,129,2,7
1.309536608605225E-8,84,87,1.2,2.214989900251152,138,2,66
9.104639701892778E-9,93,93,1.2,9.480096901868402,105,3,74
7.864196279469415E-9,102,103,1.2,1.5171553135804143,326,3,64
2.133745137355878E-8,111,117,1.0,74.00156374191812,330,3,1
2.5892200662420186E-8,120,118,1.2,5.561872452292723,766,3,3
8.254866660864198E-9,129,86,1.6000001,85.69124744631604,21,2,88
8.953706081867765E-9,138,132,1.4000001,27.743081405459357,430,2,2
6.521314552686785E-9,147,149,1.2,92.11100968351133,53,3,37
6.741734301272292E-9,156,27,2.6000004,69.77594001620616,248,3,9
6.424820963771041E-9,164,1,3.0000005,13.572685348854623,272,3,37
7.475945223946827E-9,173,183,1.2,30.697932195500556,18,1,85
6.903674707939317E-9,182,148,1.6000001,3.826519990651497,277,3,55
7.559537995961709E-9,191,80,2.4000003,30.731113605765163,245,1,3
7.2709493008216565E-9,200,9,3.4000006,55.2170878150434,791,2,1
6.870733594489893E-9,209,63,2.8000004,42.71583793227687,136,1,7
6.781348189983129E-9,218,217,1.2,66.07407953305929,103,3,18
8.391159480519369E-9,227,230,1.4000001,10.661916836435735,122,1,13
6.438804679961891E-9,236,192,1.8000002,36.866952689106824,44,2,78
5.391445451437763E-8,244,267,1.2,73.38654788515612,22,3,47
6.3020000614214485E-9,253,162,2.2000003,11.430168414523145,644,3,9
5.360871290308216E-7,262,292,1.2,0.9154082226069947,199,3,16
7.028262236349143E-9,271,237,1.6000001,21.41589919819288,244,1,3
3.7936540461434396E-8,280,310,1.2,1.2011727702531003,523,3,15
8.538928466277228E-9,289,314,1.0,16.180894890385257,96,3,49
9.554626967373188E-9,298,295,1.4000001,54.30540510399869,70,3,35
1.5379133913355003E-8,315,340,1.0,59.71446692451684,287,3,2
